Country,Rate.Since15,Very,Fairly,NotVery,NotAtAll,DK
AT,13,20,48,23,2,7
BE,24,26,60,9,1,3
BG,23,22,38,18,6,15
CY,15,26,39,26,3,6
CZ,21,11,43,33,6,7
DE,22,19,53,24,1,3
DK,32,11,50,35,2,3
EE,20,11,51,24,1,13
EL,19,19,48,26,2,5
ES,13,31,53,11,1,3
EU,22,27,51,16,1,5
FI,30,9,55,32,2,1
FR,26,31,59,9,0,2
HR,13,39,42,8,4,7
HU,21,18,50,24,5,4
IE,15,33,50,9,0,8
IT,19,35,55,8,1,1
LT,24,32,51,10,0,7
LU,22,17,51,19,1,11
LV,32,27,47,14,1,10
MT,15,33,56,8,0,3
NL,25,25,59,9,4,3
PL,13,16,45,25,4,9
PT,19,60,33,3,0,3
RO,24,29,48,10,1,12
SE,28,24,57,16,1,2
SI,13,27,49,14,2,9
SK,23,15,53,21,8,3
UK,29,35,46,13,0,6
,,,,,,
,,,,,,
