Country,Rank,Score,Undernourishment,Underweight,Enough.to.Eat.Score,Food.Price.Level,Food.Price.Inflation,Afford.Score,Nutrition.Diversity,Safe.Water,Food.Quality.Score,Diabetes,Obesity,Unhealthy.Eating.Score,Raw.Undernourish,Raw.Underweight,Raw.Food.Price,Raw.Inflation.Volatility,Raw.Diet.Diversity,Raw.Safe.Water,Raw.Diabetes,Raw.Obesity,Code,Region,Income.group
Netherlands,1,6,0,0,0,6,7,7,3,0,2,9,25,17,13.3,16.6,2.02,0.039440707,57,74.4,8.8,10.3,NLD,Europe & Central Asia,High income: OECD
Switzerland,2,8,0,0,0,14,2,8,2,0,1,20,23,22,4,999,1.85,0.010215418,41,100,7.7,5,CHE,Europe & Central Asia,High income: OECD
France,2,8,0,0,0,14,3,9,10,0,5,12,24,18,4,0.9,2.03,0.082913198,45,97.8,6.3,7.7,FRA,Europe & Central Asia,High income: OECD
Austria,4,10,0,0,0,21,10,16,7,0,4,13,28,21,4,999,1.13,0.024757033,28,100,8.9,18.2,AUT,Europe & Central Asia,High income: OECD
Belgium,4,10,0,0,0,17,2,10,7,0,4,24,30,27,4,999,0.99,0.037625973,35,99.9,7.4,25.2,BEL,Europe & Central Asia,High income: OECD
Denmark,4,10,0,0,0,18,5,12,9,0,5,21,24,23,4,2.1,1.21,0.030131216,30,99.8,11.8,32.7,DNK,Europe & Central Asia,High income: OECD
Sweden,4,10,0,0,0,18,4,11,9,0,5,21,25,23,35.8,7.3,2.17,0.051115434,60,72.2,9.2,19.7,SWE,Europe & Central Asia,High income: OECD
Australia,8,11,0,0,0,19,3,11,5,0,3,23,37,30,4,999,1.12,0.014351434,27,100,9.6,22.1,AUS,Oceania,High income: OECD
Ireland,8,11,0,0,0,11,10,11,21,0,11,14,34,24,4,1.9,1.27,0.051328332,47,96.2,14.4,30,IRL,Europe & Central Asia,High income: OECD
Italy,8,11,0,0,0,21,3,12,17,0,9,22,27,25,6.2,6,1.39,0.052783569,49,99.8,11.5,24.8,ITA,Europe & Central Asia,High income: OECD
Luxembourg,8,11,0,0,0,16,2,9,7,0,4,23,36,30,6,10.1,1.52,0.060049011,47,89.9,10.6,27.1,LUX,Europe & Central Asia,High income: OECD
Portugal,8,11,0,0,0,14,6,10,17,0,9,17,33,25,7.8,15.9,2.19,0.0318695,49,49.6,6.8,12.7,PRT,Europe & Central Asia,High income: OECD
Cyprus,13,12,0,0,0,24,4,14,9,0,5,23,35,29,4,999,1.46,0.036515986,29,100,10.8,27.6,CYP,Europe & Central Asia,High income: nonOECD
Germany,13,12,0,2,1,16,5,11,9,0,5,29,34,32,4,0.5,1.48,0.029564993,34,98.5,10.9,24.2,DEU,Europe & Central Asia,High income: OECD
Spain,13,12,0,4,2,15,5,10,7,0,4,32,36,34,4,999,1.4,0.037351636,38,99.6,11.1,28.6,ESP,Europe & Central Asia,High income: OECD
Finland,13,12,0,0,0,19,7,13,14,0,7,27,31,29,4,1.6,1.34,0.057125167,40,99.5,11.3,23.7,FIN,Europe & Central Asia,High income: OECD
United Kingdom,13,12,0,0,0,21,6,14,16,0,8,18,37,28,4,6.3,1.74,0.02231312,40,94.7,10,21.3,GBR,Europe & Central Asia,High income: OECD
Greece,13,12,0,2,1,16,4,10,16,0,8,30,27,29,4,12.9,1.62,0.022600827,48,99.6,10.5,14,GRC,Europe & Central Asia,High income: OECD
Iceland,13,12,0,0,0,18,19,19,0,0,0,26,32,29,4,3.5,1.41,0.087046188,44,87.7,10.4,19.1,ISL,Europe & Central Asia,High income: OECD
Norway,13,12,0,0,0,19,4,12,16,0,8,31,29,30,10.1,17.2,1.95,0.058167346,62,71.7,7.5,4.9,NOR,Europe & Central Asia,High income: OECD
Japan,21,13,0,0,0,52,1,27,31,0,16,16,6,11,4,1.3,1.83,0.124387963,37,99.7,11.2,24.3,JPN,East Asia & Pacific,High income: OECD
United States of America,21,13,0,3,2,11,1,6,3,2,3,36,46,41,67.3,35.2,2.15,0.075494094,50,74.4,4.9,2.9,USA,North America,High income: OECD
Israel,23,14,0,0,0,24,7,16,21,0,11,26,36,31,4,3.3,1.75,0.019080328,53,96.4,11.4,22.3,ISR,Middle East & North Africa,High income: OECD
New Zealand,23,14,0,0,0,24,6,15,9,0,5,32,39,36,6.1,20.2,2,0.058018511,71,76,5.6,6,NZL,Oceania,High income: OECD
Brazil,25,15,5,5,5,26,14,20,19,4,12,25,25,25,4,999,1.13,0.067840643,23,100,9.9,23.2,BRA,Latin America & Caribbean,Upper middle income
Canada,25,15,0,0,0,25,1,13,10,0,5,31,36,34,4,999,1.2,0.025651113,32,100,8.3,26.9,CAN,North America,High income: OECD
