Country,Laws,MenTotal,MenUrban,MenRural,MenPoorest,MenSecond,MenMiddle,MenFourth,MenRichest,MenYear,WomenTot,WomUrban,WomRural,WomPoorest,WomSecond,WomMiddle,WomFourth,WomRichest,WomYear
Afghanistan,,,,,,,,,,,90,83,92,91,94,92,92,83,2010-2011
Albania,Yes,36,27,45,52,45,37,32,21,2008-2009,30,18,39,49,38,30,22,10,2008-2009
Algeria,No,,,,,,,,,,68,63,75,80,75,69,65,53,2006
Argentina,Yes,,,,,,,,,,2,,,4,3,2,1,1,2011-2012
Armenia,No,20,15,28,32,21,22,15,10,2010,9,8,11,14,11,9,7,6,2010
Azerbaijan,Yes,58,55,62,63,58,56,59,56,2006,49,40,61,66,63,52,39,30,2006
Bangladesh,Yes,,,,,,,,,,33,24,36,41,38,35,31,19,2011
Barbados,,,,,,,,,,,3,4,3,9,3,3,2,1,2012
Belarus,,4,3,7,9,4,4,4,1,2012,4,3,8,10,5,3,4,1,2012
Belize,,,,,,,,,,,9,6,11,17,10,8,5,5,2011
Benin,Yes,15,15,14,21,18,14,13,12,2011-2012,16,14,18,18,16,19,17,12,2011-2012
Bhutan,,,,,,,,,,,68,61,72,71,73,73,70,58,2010
Bolivia,Yes,,,,,,,,,,16,14,20,19,21,19,15,9,2008
Bosnia and Herzegovina,Yes,6,6,6,13,6,5,4,5,2011-2012,5,4,5,12,5,3,4,3,2011-2012
Burkina Faso,,34,23,39,39,39,42,35,23,2010,44,34,47,46,49,48,45,33,2010
Burundi,,44,34,46,50,45,47,47,37,2010,73,56,75,78,78,75,73,62,2010
Cabo Verde,,16,12,22,,,,,,2005,17,11,26,,,,,,2005
Cambodia,Yes,22,12,25,30,26,22,26,10,2010,46,27,51,57,53,50,46,27,2010
Cameroon,No,39,35,44,47,43,43,37,31,2011,47,40,54,51,54,51,46,35,2011
Central African Republic,,75,72,78,79,80,76,73,69,2010,80,78,81,81,81,81,79,77,2010
Chad,,,,,,,,,,,62,66,61,63,61,61,61,65,2010
Comoros,,17,14,19,17,21,19,17,13,2012,39,30,43,48,43,40,34,32,2012
Congo,,62,62,61,61,67,64,63,56,2011-2012,73,74,72,72,77,76,72,69,2011-2012
Costa Rica,,,,,,,,,,,4,3,4,8,3,4,2,2,2011
Cªte d'Ivoire,,42,40,44,44,41,44,48,34,2011-2012,48,43,53,55,51,51,50,36,2011-2012
DR of the Congo,No,,,,,,,,,,76,67,80,82,80,80,77,62,2010
Dominican Republic,,,,,,,,,,,4,4,5,7,6,4,3,2,2009-2010
Egypt,No,,,,,,,,,,39,28,48,63,51,41,29,16,2008
Equatorial Guinea,,52,46,60,56,58,61,59,41,2011,53,47,58,48,56,59,61,44,2011
Eritrea,,45,35,51,46,55,53,45,32,2010,51,42,58,58,58,59,51,37,2010
Ethiopia,Yes,45,25,51,58,55,52,43,25,2011,68,46,76,81,78,76,71,46,2011
Gabon,,40,39,47,51,44,42,36,29,2012,50,49,61,63,54,52,47,40,2012
Gambia,,,,,,,,,,,75,63,87,88,83,81,76,54,2010
Georgia,,,,,,,,,,,7,6,8,8,10,8,6,4,2005
Ghana,Yes,26,20,32,41,33,25,24,14,2011,44,36,54,65,54,50,41,22,2011
Guinea,,66,57,73,81,73,68,61,54,2012,92,90,94,95,93,94,92,88,2012
Guinea-Bissau,Yes,,,,,,,,,,40,36,44,43,46,40,39,34,2010
Guyana,,19,13,22,30,25,19,15,9,2009,16,8,20,24,21,18,13,9,2009
Haiti,No,15,12,17,20,18,18,14,7,2012,17,14,19,23,21,18,15,11,2012
Honduras,Yes,10,8,12,16,13,9,8,5,2011-2012,12,9,17,24,18,12,8,5,2011-2012
India,Yes,42,33,47,53,50,48,40,26,2005-2006,47,37,52,55,54,54,47,30,2005-2006
Indonesia,Yes,18,16,21,24,21,19,15,13,2012,35,30,40,42,38,35,31,28,2012
Iraq,,,,,,,,,,,51,46,64,66,55,52,46,40,2011
Jamaica,Yes,,,,,,,,,,5,4,6,7,8,5,2,2,2011
Jordan,Yes,,,,,,,,,,70,70,71,74,74,72,68,59,2012
Kazakhstan,Yes,17,,,,,,,,2010-2011,12,11,14,17,15,12,10,9,2010-2011
Kenya,No,44,36,47,54,52,45,41,36,2008-2009,53,34,59,67,67,59,49,32,2008-2009
Kiribati,,60,51,67,65,66,66,57,44,2009,76,75,77,77,79,74,77,73,2009
Kyrgyzstan,,50,48,52,45,48,51,59,50,2012,34,22,41,39,46,43,32,17,2012
Lao PDR,,49,50,49,51,52,49,46,49,2011-2012,58,57,59,56,58,59,60,58,2011-2012
Lebanon,No,,,,,,,,,,10,,,,,,,,2009
Lesotho,No,48,37,53,59,52,55,48,33,2009,37,26,43,55,48,41,33,23,2009
Liberia,,30,25,34,32,35,34,28,24,2007,59,52,65,64,69,62,56,49,2007
Madagascar,Yes,46,41,47,53,51,47,46,39,2012-2013,45,38,47,52,47,45,45,40,2012-2013
Malawi,Yes,13,8,14,16,14,13,14,10,2010,13,10,13,15,13,14,11,10,2010
Maldives,,14,13,15,16,15,14,15,13,2009,31,18,37,40,37,36,27,15,2009
Mali,No,,,,,,,,,,87,84,89,88,88,88,89,83,2010
Marshall Islands,,58,61,50,54,56,71,59,47,2007,56,48,73,69,70,49,51,37,2007
Mauritania,Yes,,,,,,,,,,38,32,43,47,45,41,32,29,2011
Mongolia,Yes,9,6,13,13,12,8,6,5,2010,10,6,17,18,13,10,6,5,2010
Montenegro,,,,,,,,,,,11,9,14,23,11,8,10,4,2005
Morocco,Yes,,,,,,,,,,64,52,82,87,80,67,54,38,2003-2004
Mozambique,Yes,20,14,24,21,25,27,19,11,2011,23,18,25,30,29,24,22,13,2011
Namibia,Yes,41,31,51,63,54,44,33,23,2006-2007,35,22,47,58,48,43,27,13,2006-2007
Nepal,Yes,22,20,22,26,23,22,20,19,2006,23,27,23,28,24,22,20,23,2006
Nicaragua,Yes,,,,,,,,,,14,10,20,28,17,12,9,6,2006-2007
