OECD_Country,neet_2007,neet_2008,neet_2009,neet_2010,neet_2011,neet_2012,neet_2013,deficitGdp%_2007,deficitGdp%_2008,deficitGdp%_2009,deficitGdp%_2010,deficitGdp%_2011,deficitGdp%_2012,deficitGdp%_2013,gdpPerCap_2007,gdpPerCap_2008,gdpPerCap_2009,gdpPerCap_2010,gdpPerCap_2011,gdpPerCap_2012,gdpPerCap_2013
Australia,10.7,10.7,11.6,11.2,11.7,12.2,13.9,0.5,-4.0,-5.7,-4.6,-4.4,-2.3,-2.6,38822,39147,40578,41721,43265,43158,44145
Austria,11.0,11.4,11.8,12.6,10.5,11.1,10.6,-1.3,-1.5,-5.3,-4.5,-2.6,-2.3,-1.5,39240,41151,40642,41816,44045,44892,45093
Belgium,15.5,14.1,16.1,18.0,17.1,17.5,18.7,0.0,-1.1,-5.5,-4.0,-3.9,-4.1,-2.9,36634,37964,37764,39346,41214,41684,41866
Canada,13.7,13.0,15.2,15.3,14.6,14.8,13.9,1.5,-0.3,-4.5,-4.9,-3.7,-3.1,-2.7,39226,40108,38709,40055,41567,42283,43038
Czech Republic,11.0,10.6,13.1,13.6,12.8,13.4,14.2,-0.7,-2.1,-5.5,-4.4,-2.9,-4.0,-1.3,26622,26994,26895,26941,28602,28679,29028
Denmark,8.0,8.2,10.1,12.1,11.9,14.5,13.4,5.0,3.2,-2.8,-2.7,-2.1,-3.9,-0.7,38685,40843,39625,41812,43319,43565,43797
Finland,13.3,12.0,15.1,15.8,14.3,15.2,15.5,5.1,4.2,-2.5,-2.6,-1.0,-2.1,-2.4,37509,39730,37546,38296,40251,40209,39869
France,17.9,16.6,20.0,20.6,20.3,20.1,19.4,-2.5,-3.2,-7.2,-6.8,-5.1,-4.9,-4.1,34064,35170,34837,35896,37350,37347,37556
Germany,15.2,14.0,13.7,13.7,12.6,11.2,10.3,0.3,0.0,-3.0,-4.1,-0.9,0.1,0.1,36737,38378,37082,39563,42089,42730,43108
Greece,17.7,17.1,18.2,21.6,24.3,30.8,33.1,-6.7,-9.9,-15.2,-11.1,-10.1,-8.6,-12.2,29025,30872,30429,28901,26675,25462,25586
Hungary,16.9,18.4,20.9,21.5,22.4,22.5,26.1,-5.1,-3.7,-4.6,-4.5,-5.5,-2.3,-2.4,19270,20742,20801,21478,22524,22494,23336
Ireland,12.1,14.6,20.8,26.1,26.1,25.7,22.0,0.2,-7.0,-13.9,-32.4,-12.6,-8.0,-5.7,46655,43680,41520,42904,44909,45210,45642
Israel,40.1,38.0,37.7,37.4,37.3,18.7,18.1,-0.6,-2.7,-5.6,-4.0,-3.3,-5.0,-4.1,27056,26999,27379,28773,30193,31648,32505
Italy,22.6,22.0,24.8,27.1,28.4,31.5,33.7,-1.5,-2.7,-5.3,-4.2,-3.5,-3.0,-2.9,33531,34941,33893,34396,35494,35054,34836
Luxembourg,9.2,9.8,8.7,7.5,8.5,10.3,8.2,4.2,3.3,-0.5,-0.6,0.3,0.1,0.6,80903,84638,79879,84110,91284,91754,90724
Mexico,26.5,26.5,27.6,26.1,26.2,25.0,25.2,0.9,0.7,0.2,-0.1,0.2,-0.3,-0.4,14132,14743,14394,15139,16345,16767,16856
Netherlands,6.9,5.6,7.9,7.4,6.9,7.1,9.5,0.2,0.2,-5.5,-5.0,-4.3,-4.0,-2.3,43349,45913,44420,44752,46389,46062,46174
Norway,8.8,7.0,9.4,9.0,10.4,10.7,10.9,1.7,1.9,1.1,1.1,1.4,1.4,1.1,55850,61332,55110,57736,61812,65098,64408
Portugal,15.2,13.5,15.7,16.4,18.7,22.7,22.0,-3.0,-3.8,-9.8,-11.2,-7.4,-5.5,-4.9,25224,26096,26217,26924,26932,27204,27804
Slovak Republic,19.9,16.6,17.1,22.1,21.4,20.2,21.0,-1.9,-2.4,-7.9,-7.5,-4.1,-4.2,-2.6,21344,23670,23039,24259,25067,25725,26499
Slovenia,10.4,10.3,11.4,9.3,11.3,11.4,13.7,-0.1,-1.8,-6.1,-5.7,-6.2,-3.7,-14.6,27670,29589,27488,27561,28492,28455,28864
Spain,16.9,19.0,25.9,27.0,28.9,30.6,32.4,2.0,-4.4,-11.0,-9.4,-9.4,-10.3,-6.8,32800,33708,32804,32361,32678,32774,33112
Sweden,13.1,12.9,16.5,14.2,12.9,13.5,12.9,3.3,2.0,-0.7,0.0,-0.1,-0.9,-1.4,40565,41881,39670,41727,43709,43869,44646
Switzerland,10.4,9.1,10.9,11.1,10.6,12.1,10.2,0.9,2.0,0.8,0.3,0.8,0.3,0.1,46990,50025,49552,50978,54551,55916,56940
Turkey,46.3,46.1,46.1,43.7,39.6,30.9,35.9,-1.5,-2.3,-6.5,-2.9,-0.8,1.4,1.5,13896,15021,14495,16001,17692,18002,18574
United Kingdom,18.1,18.3,19.1,19.3,19.1,20.2,19.1,-3.0,-5.1,-10.8,-9.6,-7.6,-8.3,-5.8,37425,37743,36295,35924,36534,37383,38256
United States,16.2,17.2,20.1,19.4,18.5,17.7,18.8,-3.5,-7.0,-12.7,-12.0,-10.6,-8.9,-5.6,47987,48330,46930,48307,49732,51435,52985
